kpointindex: 1 K=      0.000000     -3.627599      0.000000
   mode=   1   Re <S_r> -0.00000000  0.29961308 -0.00009693   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2996   Im|<S_r>|  0.0000   E_r=  11.41994750 -0.00000000
   mode=   2   Re <S_r>  0.00000000 -0.17834443  0.00006214   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1783   Im|<S_r>|  0.0000   E_r=  11.41994750  0.00000000
   mode=   3   Re <S_r> -0.00000000 -0.01377118  0.00000001   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0138   Im|<S_r>|  0.0000   E_r=  11.10820375 -0.00000000
   mode=   4   Re <S_r> -0.00000000  0.00227986 -0.00000001   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0023   Im|<S_r>|  0.0000   E_r=  11.10244474 -0.00000000
   mode=   5   Re <S_r>  0.00000000  0.21317260 -0.00125381   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2132   Im|<S_r>|  0.0000   E_r=  10.96569599  0.00000000
   mode=   6   Re <S_r> -0.00000000 -0.21537549  0.00125338   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2154   Im|<S_r>|  0.0000   E_r=  10.96569599 -0.00000000
   mode=   7   Re <S_r>  0.00000000  0.33595242 -0.00000302   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3360   Im|<S_r>|  0.0000   E_r=  10.84814822  0.00000000
   mode=   8   Re <S_r> -0.00000000 -0.34085223  0.00000303   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3409   Im|<S_r>|  0.0000   E_r=  10.84814822  0.00000000
   mode=   9   Re <S_r>  0.00000000  0.71236198 -0.16288113   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7307   Im|<S_r>|  0.0000   E_r=  10.63134565  0.00000000
   mode=  10   Re <S_r> -0.00000000 -0.70565238  0.16290582   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7242   Im|<S_r>|  0.0000   E_r=  10.63134565 -0.00000000
   mode=  11   Re <S_r> -0.00000000 -0.15434320 -0.03678097   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1587   Im|<S_r>|  0.0000   E_r=  10.62208952  0.00000000
   mode=  12   Re <S_r>  0.00000000  0.15618220  0.03731800   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1606   Im|<S_r>|  0.0000   E_r=  10.62208952  0.00000000
   mode=  13   Re <S_r> -0.00000000 -0.00007425 -0.00000034   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0001   Im|<S_r>|  0.0000   E_r=  10.45794951  0.00000000
   mode=  14   Re <S_r>  0.00000000 -0.37886648 -0.00295709   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3789   Im|<S_r>|  0.0000   E_r=  10.39869252 -0.00000000
   mode=  15   Re <S_r> -0.00000000  0.37879432  0.00295653   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3788   Im|<S_r>|  0.0000   E_r=  10.39869252  0.00000000
   mode=  16   Re <S_r> -0.00000000  0.00181076 -0.00005189   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0018   Im|<S_r>|  0.0000   E_r=  10.21821397 -0.00000000
   mode=  17   Re <S_r>  0.00000000 -0.00180866  0.00005187   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0018   Im|<S_r>|  0.0000   E_r=  10.21821397  0.00000000
   mode=  18   Re <S_r>  0.00000000 -0.06431487  0.00000561   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0643   Im|<S_r>|  0.0000   E_r=  10.07740244  0.00000000
   mode=  19   Re <S_r> -0.00000000  0.06456962 -0.00000563   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0646   Im|<S_r>|  0.0000   E_r=  10.07740244  0.00000000
   mode=  20   Re <S_r> -0.00000000 -0.00000815 -0.00000064   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0000   Im|<S_r>|  0.0000   E_r=  10.05651746  0.00000000
   mode=  21   Re <S_r> -0.00000000  0.00000815  0.00000064   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0000   Im|<S_r>|  0.0000   E_r=  10.03434530 -0.00000000
   mode=  22   Re <S_r>  0.00000000 -0.23753405 -0.00394915   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2376   Im|<S_r>|  0.0000   E_r=  10.03183741 -0.00000000
   mode=  23   Re <S_r> -0.00000000  0.23747243  0.00394812   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2375   Im|<S_r>|  0.0000   E_r=  10.03183741 -0.00000000
   mode=  24   Re <S_r> -0.00000000  0.02995285  0.00006944   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0300   Im|<S_r>|  0.0000   E_r=   9.59294181  0.00000000
   mode=  25   Re <S_r>  0.00000000 -0.02995036 -0.00006943   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0300   Im|<S_r>|  0.0000   E_r=   9.59294181  0.00000000
   mode=  26   Re <S_r>  0.00000000  0.00030487  0.00000556   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0003   Im|<S_r>|  0.0000   E_r=   9.27577565 -0.00000000
   mode=  27   Re <S_r> -0.00000000 -0.00030487 -0.00000556   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0003   Im|<S_r>|  0.0000   E_r=   9.25310025 -0.00000000
   mode=  28   Re <S_r> -0.00000000  0.00009250  0.00000251   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0001   Im|<S_r>|  0.0000   E_r=   9.06484311  0.00000000
   mode=  29   Re <S_r> -0.00000000 -0.00009246 -0.00000251   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0001   Im|<S_r>|  0.0000   E_r=   9.05013300  0.00000000
   mode=  30   Re <S_r>  0.00000000 -0.17554389  0.00009274   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1755   Im|<S_r>|  0.0000   E_r=   8.56944593  0.00000000
   mode=  31   Re <S_r> -0.00000000  0.17558263 -0.00009276   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1756   Im|<S_r>|  0.0000   E_r=   8.56944593 -0.00000000
   mode=  32   Re <S_r> -0.00000000  0.43354244  0.00525926   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4336   Im|<S_r>|  0.0000   E_r=   8.45278511 -0.00000000
   mode=  33   Re <S_r>  0.00000000 -0.43354611 -0.00525930   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4336   Im|<S_r>|  0.0000   E_r=   8.45278511  0.00000000
   mode=  34   Re <S_r> -0.00000000  0.00025815 -0.00000290   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0003   Im|<S_r>|  0.0000   E_r=   8.19476990 -0.00000000
   mode=  35   Re <S_r> -0.00000000 -0.00025797  0.00000289   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0003   Im|<S_r>|  0.0000   E_r=   8.18850723 -0.00000000
   mode=  36   Re <S_r> -0.00000000  0.02525493 -0.00047791   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0253   Im|<S_r>|  0.0000   E_r=   8.04415557  0.00000000
   mode=  37   Re <S_r>  0.00000000 -0.02532352  0.00047921   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0253   Im|<S_r>|  0.0000   E_r=   8.04415557 -0.00000000
   mode=  38   Re <S_r> -0.00000000  0.00407110 -0.00463284   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0062   Im|<S_r>|  0.0000   E_r=   8.00601750 -0.00000000
   mode=  39   Re <S_r>  0.00000000 -0.00407109  0.00463283   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0062   Im|<S_r>|  0.0000   E_r=   8.00601750 -0.00000000
   mode=  40   Re <S_r> -0.00000000  0.03767093 -0.00127092   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0377   Im|<S_r>|  0.0000   E_r=   8.00293111  0.00000000
   mode=  41   Re <S_r>  0.00000000 -0.03767776  0.00127115   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0377   Im|<S_r>|  0.0000   E_r=   8.00293111  0.00000000
   mode=  42   Re <S_r> -0.00000000 -0.46726948 -0.00001664   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4673   Im|<S_r>|  0.0000   E_r=   7.04589018 -0.00000000
