kpointindex: 1 K=      0.000000     -3.627599      0.000000
   mode=   1   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712 -0.00000000
   mode=   2   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712 -0.00000000
   mode=   3   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712  0.00000000
   mode=   4   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712 -0.00000000
   mode=   5   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712  0.00000000
   mode=   6   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.84842712 -0.00000000
   mode=   7   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=   8   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=   9   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  10   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  11   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  12   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  13   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  14   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  15   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  16   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  17   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  18   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  19   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  20   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  21   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  22   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  23   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  24   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  25   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  26   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000 -0.00000000
   mode=  27   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   8.02000000  0.00000000
   mode=  28   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712  0.00000000
   mode=  29   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712 -0.00000000
   mode=  30   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712 -0.00000000
   mode=  31   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712  0.00000000
   mode=  32   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712  0.00000000
   mode=  33   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.84842712 -0.00000000
   mode=  34   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  35   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000  0.00000000
   mode=  36   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  37   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  38   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000  0.00000000
   mode=  39   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  40   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000  0.00000000
   mode=  41   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  42   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
   mode=  43   Re <S_r>  0.00000000  0.00000000 -1.00000000   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  1.0000   Im|<S_r>|  0.0000   E_r=   6.02000000 -0.00000000
