  -11.31371      0.0000000E+00  0.0000000E+00
  -9.899494       1.000000      0.0000000E+00
  -8.485281       2.000000      0.0000000E+00
  -7.071068       3.000000      0.0000000E+00
  -5.656854       4.000000      0.0000000E+00
  -4.242640       5.000000      0.0000000E+00
  -2.828427       6.000000      0.0000000E+00
  -1.414213       7.000000      0.0000000E+00
  -9.899494      -1.000000      0.0000000E+00
  -8.485281      0.0000000E+00  0.0000000E+00
  -7.071067       1.000000      0.0000000E+00
  -5.656854       2.000000      0.0000000E+00
  -4.242640       3.000000      0.0000000E+00
  -2.828427       4.000000      0.0000000E+00
  -1.414214       5.000000      0.0000000E+00
  3.5762787E-07   6.000000      0.0000000E+00
  -8.485281      -2.000000      0.0000000E+00
  -7.071067      -1.000000      0.0000000E+00
  -5.656854      0.0000000E+00  0.0000000E+00
  -4.242640       1.000000      0.0000000E+00
  -2.828427       2.000000      0.0000000E+00
  -1.414213       3.000000      0.0000000E+00
 -2.3841858E-07   4.000000      0.0000000E+00
   1.414214       5.000000      0.0000000E+00
  -7.071068      -3.000000      0.0000000E+00
  -5.656854      -2.000000      0.0000000E+00
  -4.242640      -1.000000      0.0000000E+00
  -2.828427      0.0000000E+00  0.0000000E+00
  -1.414214       1.000000      0.0000000E+00
  0.0000000E+00   2.000000      0.0000000E+00
   1.414213       3.000000      0.0000000E+00
   2.828427       4.000000      0.0000000E+00
  -5.656854      -4.000000      0.0000000E+00
  -4.242640      -3.000000      0.0000000E+00
  -2.828427      -2.000000      0.0000000E+00
  -1.414214      -1.000000      0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00
   1.414214       1.000000      0.0000000E+00
   2.828427       2.000000      0.0000000E+00
   4.242641       3.000000      0.0000000E+00
  -4.242640      -5.000000      0.0000000E+00
  -2.828426      -4.000000      0.0000000E+00
  -1.414213      -3.000000      0.0000000E+00
  0.0000000E+00  -2.000000      0.0000000E+00
   1.414214      -1.000000      0.0000000E+00
   2.828427      0.0000000E+00  0.0000000E+00
   4.242640       1.000000      0.0000000E+00
   5.656855       2.000000      0.0000000E+00
  -2.828427      -6.000000      0.0000000E+00
  -1.414213      -5.000000      0.0000000E+00
  0.0000000E+00  -4.000000      0.0000000E+00
   1.414213      -3.000000      0.0000000E+00
   2.828427      -2.000000      0.0000000E+00
   4.242640      -1.000000      0.0000000E+00
   5.656854      0.0000000E+00  0.0000000E+00
   7.071068       1.000000      0.0000000E+00
  -1.414214      -7.000000      0.0000000E+00
  9.5367432E-07  -6.000000      0.0000000E+00
   1.414214      -5.000000      0.0000000E+00
   2.828427      -4.000000      0.0000000E+00
   4.242641      -3.000000      0.0000000E+00
   5.656855      -2.000000      0.0000000E+00
   7.071068      -1.000000      0.0000000E+00
   8.485282      0.0000000E+00  0.0000000E+00
